part,samples,accX,accY,accZ,gyroX,gyroY,gyroZ
x_a,1028,-2052.0,-28.0,-73.0,1.0,0.0,-5.0
x_a,1029,-2059.0,-29.0,-77.0,2.0,-3.0,-5.0
x_a,1030,-2054.0,-25.0,-71.0,3.0,-2.0,-3.0
x_a,1031,-2057.0,-38.0,-85.0,1.0,-8.0,-4.0
x_a,1032,-2051.0,-24.0,-64.0,4.0,0.0,-1.0
x_a,1033,-2057.0,-19.0,-82.0,11.0,-4.0,-5.0
x_a,1034,-2046.0,-25.0,-70.0,1.0,0.0,-3.0
x_a,1035,-2045.0,-27.0,-74.0,-2.0,-7.0,-5.0
x_a,1036,-2045.0,-26.0,-66.0,3.0,-4.0,-6.0
x_a,1037,-2055.0,-32.0,-77.0,-7.0,-7.0,-4.0
x_a,1038,-2056.0,-28.0,-73.0,-3.0,-12.0,-8.0
x_a,1039,-2056.0,-22.0,-62.0,0.0,-7.0,-1.0
x_a,1040,-2053.0,-36.0,-94.0,2.0,-7.0,-3.0
x_a,1041,-2049.0,-25.0,-84.0,6.0,-3.0,-6.0
x_a,1042,-2044.0,-29.0,-82.0,-4.0,-6.0,-4.0
x_a,1043,-2063.0,-20.0,-73.0,-1.0,-5.0,-6.0
x_a,1044,-2044.0,-17.0,-82.0,-2.0,-6.0,-5.0
x_a,1045,-2046.0,-28.0,-79.0,8.0,-10.0,-4.0
x_a,1046,-2043.0,-33.0,-70.0,-1.0,-5.0,-4.0
x_a,1047,-2052.0,-30.0,-81.0,4.0,-1.0,-5.0
x_a,1048,-2053.0,-36.0,-87.0,5.0,-3.0,0.0
x_a,1049,-2052.0,-34.0,-61.0,5.0,-6.0,-2.0
x_a,1050,-2053.0,-28.0,-71.0,1.0,-4.0,-2.0
x_a,1051,-2055.0,-32.0,-82.0,6.0,-3.0,-4.0
x_a,1052,-2055.0,-37.0,-82.0,8.0,1.0,-6.0
x_a,1053,-2054.0,-20.0,-78.0,0.0,-17.0,-2.0
x_a,1054,-2041.0,-26.0,-76.0,0.0,-3.0,0.0
x_a,1055,-2047.0,-35.0,-78.0,1.0,-4.0,-10.0
x_a,1056,-2048.0,-35.0,-75.0,1.0,-2.0,-4.0
x_a,1057,-2050.0,-20.0,-79.0,2.0,-1.0,0.0
x_a,1058,-2053.0,-26.0,-76.0,3.0,-5.0,1.0
x_a,1059,-2056.0,-30.0,-83.0,6.0,-6.0,-2.0
x_a,1060,-2065.0,-29.0,-72.0,4.0,-5.0,-6.0
x_a,1061,-2053.0,-37.0,-86.0,4.0,-3.0,-6.0
x_a,1062,-2045.0,-30.0,-68.0,-7.0,-3.0,-7.0
x_a,1063,-2039.0,-33.0,-73.0,-5.0,-1.0,0.0
x_a,1064,-2047.0,-40.0,-81.0,2.0,1.0,-3.0
x_a,1065,-2040.0,-21.0,-82.0,1.0,-1.0,-2.0
x_a,1066,-2059.0,-41.0,-91.0,-1.0,-6.0,-5.0
